CD_CARGO,SQ_CANDIDATO,NM_CANDIDATO,CD_SITUACAO_CANDIDATURA,DS_SITUACAO_CANDIDATURA,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,NR_FEDERACAO,NM_FEDERACAO,SG_FEDERACAO,DS_COMPOSICAO_FEDERACAO,SQ_COLIGACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,NR_IDADE_DATA_POSSE,CD_GENERO,DS_GENERO,CD_GRAU_INSTRUCAO,DS_GRAU_INSTRUCAO,CD_ESTADO_CIVIL,DS_ESTADO_CIVIL,CD_COR_RACA,DS_COR_RACA,CD_OCUPACAO,DS_OCUPACAO,VR_DESPESA_MAX_CAMPANHA,CD_SIT_TOT_TURNO,DS_SIT_TOT_TURNO,ST_REELEICAO,ST_DECLARAR_BENS,NR_PROTOCOLO_CANDIDATURA,NR_PROCESSO,CD_SITUACAO_CANDIDATO_PLEITO,DS_SITUACAO_CANDIDATO_PLEITO,CD_SITUACAO_CANDIDATO_URNA,DS_SITUACAO_CANDIDATO_URNA,ST_CANDIDATO_INSERIDO_URNA,NM_TIPO_DESTINACAO_VOTOS,CD_SITUACAO_CANDIDATO_TOT,DS_SITUACAO_CANDIDATO_TOT,ST_PREST_CONTAS,ST_SUBSTITUIDO,SQ_SUBSTITUIDO,SQ_ORDEM_SUPLENCIA,DT_ACEITE_CANDIDATURA
6,250001715877,REGINALDO BELARMINO DA SILVA,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001685178,PARTIDO ISOLADO,PRTB,54.0,2,MASCULINO,4,ENSINO FUNDAMENTAL COMPLETO,1,SOLTEIRO(A),1,BRANCA,999,OUTROS,3176572.53,4,NÃO ELEITO,N,S,-1,6037531520226260000,2,DEFERIDO,4,INDEFERIDO COM RECURSO,SIM,Válido,2,Deferido,S,N,-1,-1,15/08/2022 10:47:10
7,250001597793,YGOR FROES CARVALHO,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,30,NOVO,PARTIDO NOVO,-1,#NULO#,#NULO#,#NULO#,250001680946,PARTIDO ISOLADO,NOVO,23.0,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,1,SOLTEIRO(A),1,BRANCA,254,VIGILANTE,1270629.01,5,SUPLENTE,N,S,-1,6004291720226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,51,28/07/2022 17:48:08
7,250001610156,JOSE CARLOS FERREIRA VILELA,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,22,PL,PARTIDO LIBERAL,-1,#NULO#,#NULO#,#NULO#,250001681492,PARTIDO ISOLADO,PL,59.0,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,3,CASADO(A),1,BRANCA,532,MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA,1270629.01,5,SUPLENTE,N,S,-1,6011333020226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,66,08/08/2022 14:28:21
6,250001613790,ALBERTINO FERREIRA DE OLIVEIRA,12,APTO,2,DEFERIDO,FEDERAÇÃO,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,3,Federação PSOL REDE,PSOL/REDE,PSOL/REDE,250001681689,FEDERAÇÃO,PSOL/REDE,57.0,2,MASCULINO,4,ENSINO FUNDAMENTAL COMPLETO,3,CASADO(A),3,PARDA,999,OUTROS,3176572.53,5,SUPLENTE,N,N,-1,6020236620226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,15,09/08/2022 12:36:37
7,250001602128,CECILIA CLAUDINO GOMES DO AMARAL PEREIRA,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,44,UNIÃO,UNIÃO BRASIL,-1,#NULO#,#NULO#,#NULO#,250001681143,PARTIDO ISOLADO,UNIÃO,67.0,4,FEMININO,8,SUPERIOR COMPLETO,9,DIVORCIADO(A),1,BRANCA,999,OUTROS,1270629.01,5,SUPLENTE,N,S,-1,6005695120226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,78,02/08/2022 18:46:15
6,250001620745,FABRICIO DE CARVALHO SILVA,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,51,PATRIOTA,PATRIOTA,-1,#NULO#,#NULO#,#NULO#,250001682231,PARTIDO ISOLADO,PATRIOTA,44.0,2,MASCULINO,4,ENSINO FUNDAMENTAL COMPLETO,3,CASADO(A),2,PRETA,172,PUBLICITÁRIO,3176572.53,4,NÃO ELEITO,N,N,-1,6025103620226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,-1,10/08/2022 15:54:40
7,250001620618,MARCELO FERREIRA KAWATOKO,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001682228,PARTIDO ISOLADO,PSB,54.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),4,AMARELA,133,SOCIÓLOGO,1270629.01,5,SUPLENTE,N,S,-1,6024393420226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,77,10/08/2022 15:32:28
7,250001602133,MARCUS LEVY ANDRADE ACOSTA,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,44,UNIÃO,UNIÃO BRASIL,-1,#NULO#,#NULO#,#NULO#,250001681143,PARTIDO ISOLADO,UNIÃO,55.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,233,POLICIAL MILITAR,1270629.01,5,SUPLENTE,N,S,-1,6006076320226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,60,02/08/2022 18:46:15
6,250001611309,LILIANE GONÇALVES VENTURA LOPES,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,22,PL,PARTIDO LIBERAL,-1,#NULO#,#NULO#,#NULO#,250001681568,PARTIDO ISOLADO,PL,53.0,4,FEMININO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,171,JORNALISTA E REDATOR,3176572.53,5,SUPLENTE,N,S,-1,6014295220226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,26,08/08/2022 17:18:03
7,250001610011,ALLI AHMAD MAJDOUB,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,15,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001681484,PARTIDO ISOLADO,MDB,53.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,169,COMERCIANTE,1270629.01,5,SUPLENTE,N,S,-1,6009757220226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,29,08/08/2022 14:07:11
6,250001604812,DENILSON MIOTTO,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001681260,PARTIDO ISOLADO,PTB,53.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,923,APOSENTADO (EXCETO SERVIDOR PÚBLICO),3176572.53,4,NÃO ELEITO,N,N,-1,6006648120226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,-1,04/08/2022 18:08:07
6,250001610306,MARCIO RODRIGUES,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,19,PODE,PODEMOS,-1,#NULO#,#NULO#,#NULO#,250001681496,PARTIDO ISOLADO,PODE,52.0,2,MASCULINO,8,SUPERIOR COMPLETO,9,DIVORCIADO(A),1,BRANCA,232,POLICIAL CIVIL,3176572.53,5,SUPLENTE,N,S,-1,6011965520226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,35,08/08/2022 14:45:25
7,250001721332,PEDRO PAULO DE OLIVEIRA FILHO,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,36,AGIR,AGIR,-1,#NULO#,#NULO#,#NULO#,250001685371,PARTIDO ISOLADO,AGIR,56.0,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,9,DIVORCIADO(A),2,PRETA,254,VIGILANTE,1270629.01,4,NÃO ELEITO,N,S,-1,6039991120226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,-1,15/08/2022 14:10:02
6,250001715838,ELIZA MURATORI DE SOUZA,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001685178,PARTIDO ISOLADO,PRTB,66.0,4,FEMININO,6,ENSINO MÉDIO COMPLETO,9,DIVORCIADO(A),1,BRANCA,185,ESCRITOR E CRÍTICO,3176572.53,4,NÃO ELEITO,N,N,-1,6037575220226260000,2,DEFERIDO,4,INDEFERIDO COM RECURSO,SIM,Válido,2,Deferido,S,N,-1,-1,15/08/2022 10:47:10
7,250001611498,GIOVANNA GUIMARÃES TRIPOLI VON USLAR,12,APTO,2,DEFERIDO,FEDERAÇÃO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,1,Federação PSDB Cidadania,PSDB/CIDADANIA,PSDB/CIDADANIA,250001681575,FEDERAÇÃO,PSDB/CIDADANIA,32.0,4,FEMININO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,131,ADVOGADO,1270629.01,5,SUPLENTE,N,S,-1,6015810320226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,3,08/08/2022 17:36:27
6,250001611253,EDMILSON DE SOUZA VIEIRA FEITOSA,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,15,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001681566,PARTIDO ISOLADO,MDB,47.0,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,3,CASADO(A),2,PRETA,254,VIGILANTE,3176572.53,5,SUPLENTE,N,N,-1,6013411420226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,49,08/08/2022 17:12:38
7,250001614881,CLODOALDO ALVES DE AMORIM,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001681750,PARTIDO ISOLADO,PTB,51.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),3,PARDA,131,ADVOGADO,1270629.01,4,NÃO ELEITO,N,S,-1,6021691020226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,-1,09/08/2022 16:27:56
7,250001619351,MARIANA CONTI TAKAHASHI,12,APTO,2,DEFERIDO,FEDERAÇÃO,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,3,Federação PSOL REDE,PSOL/REDE,PSOL/REDE,250001682175,FEDERAÇÃO,PSOL/REDE,37.0,4,FEMININO,8,SUPERIOR COMPLETO,1,SOLTEIRO(A),4,AMARELA,278,VEREADOR,1270629.01,5,SUPLENTE,N,S,-1,6023138120226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,2,10/08/2022 12:07:26
7,250001612286,ARNALDO JOSE MARÍA CANCELA,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,11,PP,PROGRESSISTAS,-1,#NULO#,#NULO#,#NULO#,250001681607,PARTIDO ISOLADO,PP,74.0,2,MASCULINO,8,SUPERIOR COMPLETO,9,DIVORCIADO(A),1,BRANCA,171,JORNALISTA E REDATOR,1270629.01,5,SUPLENTE,N,S,-1,6019318820226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,N,N,-1,55,08/08/2022 19:05:28
7,250001597750,RAFAEL GUSTAVO BERNARDO,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,30,NOVO,PARTIDO NOVO,-1,#NULO#,#NULO#,#NULO#,250001680946,PARTIDO ISOLADO,NOVO,45.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,257,EMPRESÁRIO,1270629.01,5,SUPLENTE,N,S,-1,6004214020226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,12,28/07/2022 17:48:08
6,250001622063,JOEL DE MELO,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,70,AVANTE,AVANTE,-1,#NULO#,#NULO#,#NULO#,250001682296,PARTIDO ISOLADO,AVANTE,66.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,266,PROFESSOR DE ENSINO MÉDIO,3176572.53,4,NÃO ELEITO,N,N,-1,6027546220226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,-1,10/08/2022 20:07:05
7,250001606274,LAERTE VANDERLEY CORNELIO,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,77,SOLIDARIEDADE,SOLIDARIEDADE,-1,#NULO#,#NULO#,#NULO#,250001681318,PARTIDO ISOLADO,SOLIDARIEDADE,57.0,2,MASCULINO,5,ENSINO MÉDIO INCOMPLETO,3,CASADO(A),1,BRANCA,999,OUTROS,1270629.01,5,SUPLENTE,N,S,-1,6009359020226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,31,05/08/2022 17:02:25
7,250001639568,GILMACI DOS SANTOS BARBOSA,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,10,REPUBLICANOS,REPUBLICANOS,-1,#NULO#,#NULO#,#NULO#,250001682797,PARTIDO ISOLADO,REPUBLICANOS,61.0,2,MASCULINO,7,SUPERIOR INCOMPLETO,3,CASADO(A),3,PARDA,277,DEPUTADO,1270629.01,2,ELEITO POR QP,S,S,-1,6028784520226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,-1,11/08/2022 14:06:36
6,250001643900,JOSÉ ADILSON PEREIRA DOS SANTOS,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,20,PSC,PARTIDO SOCIAL CRISTÃO,-1,#NULO#,#NULO#,#NULO#,250001683090,PARTIDO ISOLADO,PSC,58.0,2,MASCULINO,4,ENSINO FUNDAMENTAL COMPLETO,7,SEPARADO(A) JUDICIALMENTE,3,PARDA,278,VEREADOR,3176572.53,5,SUPLENTE,N,S,-1,6033695220226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,16,11/08/2022 20:10:01
7,250001643277,ROSILENE DOS SANTOS,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,33,PMN,PARTIDO DA MOBILIZAÇÃO NACIONAL,-1,#NULO#,#NULO#,#NULO#,250001683054,PARTIDO ISOLADO,PMN,58.0,4,FEMININO,6,ENSINO MÉDIO COMPLETO,9,DIVORCIADO(A),2,PRETA,113,ENFERMEIRO,1270629.01,4,NÃO ELEITO,N,S,-1,6030932120226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,-1,11/08/2022 19:52:41
7,250001726545,MARIA DAS MERCES CANDIDA DE ARAUJO,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,70,AVANTE,AVANTE,-1,#NULO#,#NULO#,#NULO#,250001682281,PARTIDO ISOLADO,AVANTE,59.0,4,FEMININO,6,ENSINO MÉDIO COMPLETO,5,VIÚVO(A),3,PARDA,999,OUTROS,1270629.01,4,NÃO ELEITO,N,S,-1,6040927120226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,250001621726,-1,20/08/2022 16:55:54
7,250001621474,ANA PAULA CARVALHO BEATHALTER,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,51,PATRIOTA,PATRIOTA,-1,#NULO#,#NULO#,#NULO#,250001682264,PARTIDO ISOLADO,PATRIOTA,42.0,4,FEMININO,8,SUPERIOR COMPLETO,3,CASADO(A),2,PRETA,278,VEREADOR,1270629.01,4,NÃO ELEITO,N,N,-1,6025562520226260000,16,DEFERIDO COM RECURSO,16,DEFERIDO COM RECURSO,SIM,Válido,2,Deferido,S,N,-1,-1,10/08/2022 18:12:28
6,250001610266,MARCELO JOSÉ ORTEGA,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,19,PODE,PODEMOS,-1,#NULO#,#NULO#,#NULO#,250001681496,PARTIDO ISOLADO,PODE,45.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,278,VEREADOR,3176572.53,5,SUPLENTE,N,S,-1,6011818620226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,27,08/08/2022 14:45:25
6,250001620286,ORLANDO MENGATTI FILHO,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001682213,PARTIDO ISOLADO,PSB,59.0,2,MASCULINO,8,SUPERIOR COMPLETO,1,SOLTEIRO(A),1,BRANCA,999,OUTROS,3176572.53,5,SUPLENTE,N,S,-1,6023691720226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,20,10/08/2022 14:37:01
7,250001606292,ÁTILA CESAR MONTEIRO JACOMUSSI,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,77,SOLIDARIEDADE,SOLIDARIEDADE,-1,#NULO#,#NULO#,#NULO#,250001681318,PARTIDO ISOLADO,SOLIDARIEDADE,49.0,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,9,DIVORCIADO(A),1,BRANCA,169,COMERCIANTE,1270629.01,2,ELEITO POR QP,N,S,-1,6009575120226260000,16,DEFERIDO COM RECURSO,16,DEFERIDO COM RECURSO,SIM,Válido,2,Deferido,S,N,-1,-1,05/08/2022 17:02:25
6,250001612115,EDISON IWAO KURAMOTO,12,APTO,2,DEFERIDO,FEDERAÇÃO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,1,Federação PSDB Cidadania,PSDB/CIDADANIA,PSDB/CIDADANIA,250001681602,FEDERAÇÃO,PSDB/CIDADANIA,63.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),4,AMARELA,111,MÉDICO,3176572.53,5,SUPLENTE,N,S,-1,6018781020226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,24,08/08/2022 18:52:42
7,250001611445,DANIELLE SANTOS SILVA,12,APTO,2,DEFERIDO,FEDERAÇÃO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,1,Federação PSDB Cidadania,PSDB/CIDADANIA,PSDB/CIDADANIA,250001681575,FEDERAÇÃO,PSDB/CIDADANIA,36.0,4,FEMININO,6,ENSINO MÉDIO COMPLETO,1,SOLTEIRO(A),1,BRANCA,257,EMPRESÁRIO,1270629.01,5,SUPLENTE,N,S,-1,6015602720226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,44,08/08/2022 17:36:27
7,250001642227,IRENIO OLIVEIRA CARDOSO,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,35,PMB,PARTIDO DA MULHER BRASILEIRA,-1,#NULO#,#NULO#,#NULO#,250001682984,PARTIDO ISOLADO,PMB,50.0,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,1,SOLTEIRO(A),3,PARDA,257,EMPRESÁRIO,1270629.01,4,NÃO ELEITO,N,N,-1,6030473220226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,-1,11/08/2022 19:35:05
6,250001597701,PAULO PROIETI,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,30,NOVO,PARTIDO NOVO,-1,#NULO#,#NULO#,#NULO#,250001680945,PARTIDO ISOLADO,NOVO,40.0,2,MASCULINO,8,SUPERIOR COMPLETO,9,DIVORCIADO(A),3,PARDA,257,EMPRESÁRIO,3176572.53,5,SUPLENTE,N,S,-1,6003556020226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,13,28/07/2022 17:05:52
