Mortalidade Geral
Óbitos Residentes MSP por Idade Detalhada e Distrito Admin residência
Sexo: Masculino
Raça/Cor: Branca
Período:2010-2019
"Idade Detalhada";"Água Rasa";"Alto de Pinheiros";"Anhanguera";"Aricanduva";"Artur Alvim";"Barra Funda";"Bela Vista";"Belém";"Bom Retiro";"Brás";"Brasilândia";"Butantã";"Cachoeirinha";"Cambuci";"Campo Belo";"Campo Grande";"Campo Limpo";"Cangaíba";"Capão Redondo";"Carrão";"Casa Verde";"Cidade Ademar";"Cidade Dutra";"Cidade Líder";"Cidade Tiradentes";"Consolação";"Cursino";"Ermelino Matarazzo";"Freguesia do Ó";"Grajaú";"Guaianases";"Iguatemi";"Ipiranga";"Itaim Bibi";"Itaim Paulista";"Itaquera";"Jabaquara";"Jaçanã";"Jaguara";"Jaguaré";"Jaraguá";"Jardim Ângela";"Jardim Helena";"Jardim Paulista";"Jardim São Luís";"José Bonifácio";"Lajeado";"Lapa";"Liberdade";"Limão";"Mandaqui";"Marsilac";"Moema";"Moóca";"Morumbi";"Parelheiros";"Pari";"Parque do Carmo";"Pedreira";"Penha";"Perdizes";"Perus";"Pinheiros";"Pirituba";"Ponte Rasa";"Raposo Tavares";"República";"Rio Pequeno";"Sacomã";"Santa Cecília";"Santana";"Santo Amaro";"São Domingos";"São Lucas";"São Mateus";"São Miguel";"São Rafael";"Sapopemba";"Saúde";"Sé";"Socorro";"Tatuapé";"Tremembé";"Tucuruvi";"Vila Andrade";"Vila Curuçá";"Vila Formosa";"Vila Guilherme";"Vila Jacuí";"Vila Leopoldina";"Vila Maria";"Vila Mariana";"Vila Matilde";"Vila Medeiros";"Vila Prudente";"Vila Sônia";"Ignorado";"Total"
"2 dias";-;3;2;4;3;-;2;4;-;3;21;2;9;1;2;4;8;2;6;1;5;3;9;3;7;1;7;2;13;13;6;11;4;2;10;13;4;1;-;2;8;12;5;-;12;5;7;3;-;3;1;-;1;2;1;10;2;3;7;9;2;3;1;5;2;4;2;3;12;1;3;1;2;5;9;6;7;12;2;1;1;2;9;2;3;11;2;2;1;1;5;1;4;5;6;4;-;426
"3 dias";2;-;4;5;1;-;1;2;-;-;10;1;7;-;3;2;5;1;8;2;3;5;4;4;4;-;1;3;3;17;1;2;3;-;8;6;4;3;1;-;5;6;4;-;4;1;5;1;-;4;1;-;1;-;-;1;1;3;1;4;1;6;-;2;1;3;1;3;8;2;2;-;3;3;3;1;5;12;2;-;2;1;8;1;4;5;3;-;4;-;5;-;4;5;1;1;1;271
"4 dias";-;2;1;3;4;-;-;2;1;-;18;-;8;1;-;3;3;-;4;2;2;4;4;1;4;-;2;4;3;13;2;3;3;2;6;4;4;2;1;2;5;6;4;-;10;2;10;-;-;2;2;-;3;2;2;2;1;2;2;3;2;3;2;4;-;3;1;1;7;1;2;1;2;3;1;2;2;4;3;-;-;1;11;2;1;4;3;-;2;-;2;1;2;-;-;3;1;253
"5 dias";-;-;1;1;2;-;1;1;-;1;4;1;3;-;-;1;3;4;5;3;-;6;2;1;7;-;4;2;4;4;3;2;1;-;10;6;2;-;-;1;5;5;4;-;5;1;5;-;-;2;1;-;2;1;-;2;-;1;2;3;-;5;-;1;3;1;-;3;3;3;1;-;3;3;4;1;2;4;-;-;-;-;4;1;-;1;1;4;3;-;1;1;4;2;3;-;-;187
"6 dias";2;-;1;-;2;-;-;1;1;-;3;-;2;-;1;1;3;1;5;-;-;3;2;1;2;-;-;-;5;6;-;2;-;-;6;3;1;1;-;-;4;8;2;-;5;3;3;-;1;1;1;-;-;1;-;1;-;-;4;-;-;4;-;4;1;1;-;1;3;-;-;1;-;1;2;1;5;2;1;-;1;2;2;1;2;3;-;1;2;-;-;-;2;3;2;2;-;139
"7 dias";2;-;-;1;-;-;1;2;1;2;3;-;1;-;1;-;-;2;5;2;1;1;1;1;3;-;-;-;5;4;2;4;-;-;4;2;-;-;-;2;3;5;3;-;1;1;2;1;-;4;1;-;1;-;-;2;1;1;2;-;-;2;-;2;1;1;1;-;4;2;2;1;1;3;1;2;1;2;1;-;1;1;1;1;2;4;2;1;1;1;-;3;1;3;-;-;-;130
"8 dias";-;-;-;1;1;-;-;-;-;-;3;-;3;-;-;-;3;-;3;1;1;4;2;1;2;-;1;2;-;4;1;2;2;1;3;2;2;1;1;-;2;5;-;-;-;3;4;-;-;1;2;1;-;2;-;-;-;1;-;2;-;-;-;2;1;2;2;1;5;1;-;-;2;2;-;-;-;2;-;-;1;4;4;2;1;-;2;2;2;-;2;-;-;1;1;1;-;113
"9 dias";2;1;-;1;3;-;-;-;1;2;4;-;2;-;-;-;3;1;4;-;1;3;3;-;2;1;1;1;1;2;1;2;-;-;1;1;3;1;-;-;2;4;-;-;3;1;3;-;1;1;1;-;-;-;-;1;-;1;1;2;1;2;-;2;2;1;1;-;3;-;-;-;-;-;1;2;1;2;-;-;1;-;2;-;2;2;1;-;1;1;-;1;-;4;1;-;-;103
"10 dias";1;-;-;1;-;-;-;-;-;-;3;-;1;-;-;1;4;3;1;1;1;2;-;-;2;-;-;2;3;-;2;4;-;1;-;2;1;-;-;-;2;-;4;-;1;1;-;1;-;-;1;-;-;-;-;1;-;1;1;-;-;3;-;1;-;2;-;-;2;1;2;2;-;1;2;1;-;4;-;1;-;1;-;-;1;-;-;-;1;-;1;-;-;3;-;1;-;79
"11 dias";1;-;1;-;1;-;1;1;1;-;1;1;1;-;1;3;1;-;-;-;1;1;2;1;2;-;1;3;1;6;-;-;-;-;1;2;2;1;-;1;2;4;1;-;2;1;3;-;-;-;-;-;-;-;-;4;-;1;-;1;-;2;-;1;1;2;1;2;2;-;-;-;-;1;1;-;2;5;2;-;-;-;2;1;1;-;-;-;2;-;2;-;-;-;1;2;-;91
"12 dias";-;-;-;1;-;-;2;1;-;1;2;1;2;-;-;-;-;-;1;-;-;3;1;1;5;-;2;1;1;1;-;1;1;1;1;1;-;2;-;-;-;1;1;-;2;1;2;3;-;-;2;-;1;-;-;2;1;1;1;1;1;-;-;-;1;-;1;1;3;2;1;-;1;-;1;1;1;5;-;1;-;-;2;1;-;5;-;1;1;1;3;-;-;-;1;-;-;87
"13 dias";-;-;1;1;2;-;-;-;-;1;1;-;1;-;1;-;1;-;1;1;-;3;1;1;2;-;-;-;1;4;-;1;2;1;1;3;-;1;-;-;1;-;-;1;-;1;3;-;-;-;-;-;-;1;-;-;-;-;1;1;-;1;-;1;-;1;-;1;4;1;1;-;-;1;1;-;-;-;-;-;-;1;2;1;1;2;-;1;1;-;1;1;1;-;-;-;-;65
"14 dias";-;-;1;1;-;-;1;1;-;-;5;-;-;-;-;1;2;1;-;-;-;2;2;1;-;-;-;3;-;-;3;1;-;-;2;-;2;-;-;-;1;1;-;1;2;-;1;-;-;-;-;-;-;-;-;2;1;1;-;1;-;-;-;1;1;-;-;3;4;-;1;1;-;-;1;1;3;2;-;-;-;-;5;1;-;1;-;-;-;-;1;2;-;1;1;-;-;70
"15 dias";-;-;2;-;1;-;-;-;-;1;3;-;1;-;1;-;1;-;1;1;1;1;2;1;-;-;-;1;-;1;-;1;1;-;1;2;1;1;-;-;2;1;2;-;-;2;1;-;-;-;-;-;-;-;-;3;-;1;-;-;1;1;1;1;-;1;1;-;-;-;-;1;1;-;2;2;-;1;-;-;-;1;2;-;1;1;-;-;1;-;1;-;-;-;-;3;-;61
"16 dias";-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;1;1;2;1;-;-;-;1;-;1;-;1;-;1;5;-;2;1;-;2;1;-;2;-;-;-;1;1;-;4;-;2;-;1;1;-;-;-;-;-;-;-;1;-;1;-;1;-;3;3;-;1;1;2;1;-;-;-;1;-;-;1;1;-;-;-;-;1;-;1;2;1;1;1;1;-;1;1;-;1;1;-;65
"17 dias";1;-;2;2;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;1;1;4;1;-;2;-;1;-;-;2;1;1;-;1;-;1;-;-;-;-;2;2;1;-;-;1;2;1;-;-;2;-;-;-;-;-;1;-;-;1;1;2;-;-;1;-;-;-;1;-;-;-;1;1;-;-;1;2;-;-;-;-;1;-;1;1;1;-;1;-;-;1;1;-;-;-;-;54
"18 dias";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;3;-;-;1;2;1;1;2;-;-;1;1;1;3;-;1;-;2;2;2;1;-;-;1;1;1;-;-;-;2;1;1;1;-;-;1;-;-;-;-;-;1;2;-;1;-;-;2;-;-;2;1;-;-;-;-;1;2;1;1;3;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;1;-;1;-;58
"19 dias";-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;1;-;2;2;-;-;-;1;-;1;1;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;1;-;-;1;1;1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;-;-;1;1;-;-;1;-;-;2;-;1;-;1;1;-;-;-;34
"20 dias";-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;2;1;2;-;1;-;-;1;-;-;-;1;-;1;2;1;2;1;1;-;-;-;-;-;-;1;-;-;-;1;-;1;-;2;-;2;-;-;-;-;1;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;1;3;-;-;41
"21 dias";-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;1;1;-;1;-;-;-;-;-;-;1;2;1;2;1;-;-;1;-;-;1;-;-;2;2;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;1;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30
"22 dias";-;-;-;-;-;1;1;-;-;-;3;-;1;-;-;1;5;-;1;-;-;2;-;4;1;-;-;-;-;1;1;-;-;-;2;3;1;-;-;-;1;2;1;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;2;-;1;-;-;-;-;2;1;2;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;51
"23 dias";-;-;2;-;1;-;-;1;-;-;1;-;3;1;-;1;1;-;1;-;1;2;1;-;1;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;2;1;2;-;-;1;-;1;1;-;-;1;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;39
"24 dias";-;-;-;-;1;-;-;-;-;1;1;2;3;-;-;-;-;-;1;-;-;1;-;1;-;-;-;1;-;4;2;1;-;1;1;-;1;1;-;-;-;1;2;1;1;-;2;-;-;1;1;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2;-;41
"25 dias";-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;1;1;2;1;-;-;2;-;1;1;-;2;1;-;1;1;-;-;-;-;-;-;-;-;-;2;-;1;-;2;-;1;-;-;2;1;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;1;1;38
"26 dias";-;-;-;-;-;-;-;-;-;-;3;-;-;1;-;-;2;-;-;-;-;-;2;-;-;-;-;1;-;1;-;-;-;-;1;1;-;-;-;-;1;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;25
"27 dias";-;-;-;-;1;-;-;-;-;-;2;-;1;-;-;-;2;1;2;-;-;2;-;1;1;-;-;-;1;2;1;-;-;-;-;1;-;-;-;-;-;2;2;-;1;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;1;-;-;-;-;-;-;1;2;1;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;1;1;-;40
"28 dias";-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;1;1;-;2;-;-;-;-;1;1;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;1;1;-;-;-;-;1;-;-;-;1;-;-;26
"29 dias";1;-;-;1;1;-;-;-;-;1;1;-;-;-;-;-;-;1;1;-;1;-;2;1;-;1;-;-;-;1;1;-;-;1;-;2;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;1;1;-;-;-;2;-;-;1;1;-;-;-;-;34
"30 dias";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;13
"1 mes";6;4;2;4;8;3;4;3;3;1;25;1;16;1;1;6;13;16;20;3;4;18;3;8;17;2;-;9;7;23;7;11;4;3;16;18;10;1;-;1;23;14;10;-;16;8;13;2;1;5;6;-;1;3;3;7;1;10;7;9;3;5;-;12;5;8;3;6;14;3;2;2;5;9;9;7;19;25;3;1;2;4;21;5;7;6;7;2;10;3;8;2;5;10;3;7;1;685
"2 meses";-;-;2;3;1;1;3;1;1;1;11;-;4;3;2;1;8;6;8;1;3;8;7;4;9;1;2;8;5;11;2;6;6;1;8;9;4;3;-;-;3;5;6;1;8;5;6;1;-;1;4;-;-;1;-;3;-;3;5;4;-;2;-;2;5;3;2;3;7;-;-;1;2;2;5;7;4;6;-;3;1;2;6;1;5;3;2;2;6;-;6;-;5;4;3;2;-;312
"3 meses";1;-;1;1;2;1;1;3;1;-;7;1;2;-;1;-;3;4;5;4;1;6;4;2;8;-;-;3;2;7;3;3;1;-;3;6;2;2;1;-;5;6;2;-;5;4;4;-;-;4;1;-;-;1;-;5;-;3;5;2;2;3;-;-;4;1;1;1;4;-;1;1;1;4;2;3;1;7;2;-;-;1;3;-;1;2;-;-;3;-;-;-;-;2;3;2;1;195
"4 meses";1;-;2;2;3;-;-;2;1;-;7;-;3;-;-;-;4;5;5;4;-;2;2;3;5;1;1;4;3;11;-;6;1;1;3;-;-;5;1;-;4;7;4;-;4;3;4;-;1;-;1;-;1;-;1;1;-;2;1;1;-;1;-;4;7;2;-;2;6;-;1;-;1;2;1;3;1;2;-;1;-;1;6;-;2;6;1;1;2;-;3;-;-;2;1;2;-;184
"5 meses";-;-;1;-;-;-;-;2;-;3;1;1;2;-;2;1;4;2;6;2;-;2;1;-;4;-;2;3;2;6;2;-;1;1;4;5;4;1;-;-;5;4;2;-;4;1;6;1;-;1;-;1;-;1;-;1;-;2;4;-;1;3;-;2;1;-;1;-;1;-;-;-;2;2;6;1;3;3;-;-;-;-;2;1;2;2;1;1;4;1;1;1;2;2;1;-;-;145
